Company,R&D Spend,Marketing Spend,Admin Spend,Product Cost,Revenue,Profit
Company_606,157535,171400,48154,130227,484779,83308
Company_607,104524,203680,43952,130503,479290,60935
Company_608,95106,248740,27944,177049,529355,74321
Company_609,84425,209692,58970,116260,541181,93480
Company_610,149920,192429,62748,139619,449666,80565
Company_611,133087,191245,56515,150850,504070,89892
Company_612,118888,153104,38623,152784,378804,106497
Company_613,125599,226493,47985,145522,586516,95579
Company_614,97490,197664,49934,159895,469257,81397
Company_615,168915,194585,55987,167321,503351,72335
Company_616,122584,295793,56683,168365,481421,41696
Company_617,122187,208962,42658,125354,568761,77474
Company_618,134515,177446,50819,142896,329749,75109
Company_619,129620,187209,54572,179869,499003,85855
Company_620,124477,234453,64558,172366,493650,77691
Company_621,104190,203398,57045,115678,472781,75194
Company_622,129429,156851,57890,158786,603573,53309
Company_623,157640,227576,50838,100544,446760,65900
Company_624,146908,179955,64104,151173,546307,87149
Company_625,151863,256198,54097,197444,521375,105738
Company_626,109775,232401,41389,126302,575691,78537
Company_627,100207,186580,64033,129141,459968,84917
Company_628,117484,238430,56979,169100,456021,94287
Company_629,121114,202035,45569,111429,565764,67836
Company_630,141883,225583,45205,134181,525519,85502
Company_631,86150,214541,52965,164911,407303,68892
Company_632,150591,174609,54631,134142,467641,92972
Company_633,116839,180693,51972,144100,523182,82271
Company_634,111462,230898,53113,168604,550265,84476
Company_635,99757,189956,66999,160538,459246,68261
Company_636,86902,187890,60715,156670,325144,90605
Company_637,136463,171346,51906,141521,531393,111270
Company_638,121466,212707,59413,159251,426780,64881
Company_639,94200,261875,39674,146906,378959,74903
Company_640,94098,167974,53979,161445,330060,83474
Company_641,113284,200726,68093,137576,548838,91796
Company_642,153380,242366,47819,145435,507717,71606
Company_643,114808,197610,41523,125251,486460,37504
Company_644,89937,213571,43479,149124,583341,100387
Company_645,115085,168128,39103,129724,538239,91407
Company_646,114545,212849,42152,122148,596978,53855
Company_647,66062,194385,46294,156466,416435,70886
Company_648,118914,229571,35944,155318,497926,103522
Company_649,115381,235621,50156,169571,402997,101716
Company_650,133924,277686,59022,139221,486237,94079
Company_651,156979,217388,40922,160201,485083,77358
Company_652,142531,209773,65192,163769,537596,81244
Company_653,114622,205831,55107,161119,502733,78036
Company_654,97869,189405,60305,129358,537404,96923
Company_655,171467,210154,43421,153734,542206,66862
Company_656,121184,191137,58545,159103,629295,67913
Company_657,120278,205053,39080,150179,481082,95154
Company_658,119517,239527,58902,97838,443538,79334
Company_659,123961,169803,51718,154012,514765,100677
Company_660,117112,234196,55532,205313,451863,69927
Company_661,108526,239513,38244,140999,588917,79178
Company_662,109062,196457,41049,131798,483006,66163
Company_663,119344,136344,55972,159333,466065,80110
Company_664,109131,181765,40516,157809,471721,57821
Company_665,105743,238909,54632,179818,543105,72685
Company_666,122128,199313,36328,118553,490535,58456
Company_667,114900,170020,58481,168284,461499,90408
Company_668,150079,184856,37674,164760,599921,90748
Company_669,66980,225218,55522,146446,448629,54046
Company_670,141830,216402,56256,158467,502133,100008
Company_671,144921,192832,43032,175736,539138,117461
Company_672,78532,188995,55820,171807,402119,80690
Company_673,113146,188247,52604,121424,528815,70383
Company_674,112571,172327,44611,170503,436693,122364
Company_675,91849,248461,39914,148382,549366,60215
Company_676,104443,190330,30373,151821,442240,80301
Company_677,97788,236514,53496,151829,541566,82694
Company_678,155045,245639,34351,146243,566349,100177
Company_679,138713,229949,50953,179792,551686,85396
Company_680,145431,187051,47365,147907,515078,72520
Company_681,134433,212111,56791,122011,486121,65732
Company_682,97418,199274,46979,140161,465414,74872
Company_683,109509,172888,46705,154467,588262,64896
Company_684,129787,209730,57318,180730,458030,80717
Company_685,95557,164628,53350,165077,437776,71537
Company_686,134259,235630,53161,128736,539922,57589
Company_687,115193,186061,54692,212129,452231,98827
Company_688,112503,206034,34644,156619,442996,72534
Company_689,134219,208498,57567,181884,413383,60977
Company_690,128885,192232,56124,146207,471025,77476
Company_691,112780,217600,39833,163333,495037,81025
Company_692,143186,185752,47559,170986,514585,53802
Company_693,98378,226138,49606,180454,557078,84974
Company_694,132318,159620,48655,176434,531613,64292
Company_695,131862,203791,53338,171804,488547,105665
Company_696,113809,258167,64313,142122,488108,87859
Company_697,126522,169990,60817,135706,530609,74001
Company_698,94977,179667,36877,158315,576354,68822
Company_699,138480,215417,56220,173328,507578,78425
Company_700,116301,205387,63289,144431,471852,89191
Company_701,109545,210518,53868,176629,440428,79617
Company_702,140980,214675,60909,186315,413287,76742
Company_703,105913,219041,70122,127091,539976,80875
Company_704,91830,233290,60237,129076,534678,70942
Company_705,88867,212294,52493,146490,534641,74851
Company_706,132120,192762,60450,157690,492280,48713
Company_707,94391,220177,51448,136885,584416,94605
Company_708,155095,256996,50239,183805,470952,84481
Company_709,78361,196020,46485,160601,557316,68398
Company_710,153929,170764,65634,150986,497675,108481
Company_711,124220,233212,41815,114102,463498,81305
Company_712,118065,196388,65323,117104,535551,64457
Company_713,109101,134819,54998,157025,524578,92851
Company_714,127982,225422,36006,96685,521418,85970
Company_715,119247,183940,53676,175315,504876,85918
Company_716,142066,197284,28999,146046,497726,73613
Company_717,122284,209959,56255,231077,643302,86757
Company_718,123006,205714,58852,207697,571055,76073
Company_719,112727,221283,44076,145463,543369,88339
Company_720,118861,186935,51235,147341,506707,51425
Company_721,126156,215393,69541,174889,560429,73491
Company_722,85796,192213,44942,192579,531079,105832
Company_723,93036,222164,39410,109049,501572,68493
Company_724,134865,218461,64816,105340,481786,70942
Company_725,123417,171936,69625,134449,495144,73280
Company_726,116320,232579,50036,164568,309774,61777
Company_727,120368,183921,60114,162421,512636,46875
Company_728,126951,224241,63414,176744,470691,76541
Company_729,109204,211018,42575,120007,595560,82037
Company_730,104433,255145,45146,92096,501160,79212
Company_731,123916,193296,62308,171450,428662,77826
Company_732,100432,189520,66850,129295,497007,80645
Company_733,128165,199417,55628,99537,437232,95342
Company_734,85948,190904,41201,153626,528404,77143
Company_735,140583,223998,69870,169829,517456,71388
Company_736,129451,151510,44690,146948,557470,75783
Company_737,125120,168389,46648,138553,452547,88690
Company_738,139653,167965,53423,146015,502040,101180
Company_739,153309,228509,65541,140735,418098,70577
Company_740,140287,251318,58539,116298,542089,81484
Company_741,83182,196866,54148,132132,531132,85075
Company_742,94408,194935,54632,163031,529748,65111
Company_743,107503,202101,50435,158041,500097,80306
Company_744,120521,234856,55581,154201,524886,58014
Company_745,130353,172179,24704,125121,596260,53464
Company_746,105485,207151,47033,145462,482894,85501
Company_747,123735,229255,52413,95573,508318,74241
Company_748,104892,215032,38489,154461,434832,83034
Company_749,107769,205687,53863,185721,447904,79731
Company_750,91866,230031,47955,113146,505868,65353
Company_751,101535,118903,67554,135351,566236,79321
Company_752,92966,220336,65730,158227,484623,61503
Company_753,100482,180377,45341,181321,485845,100864
Company_754,141072,145081,48491,138794,475586,59660
Company_755,101012,215336,49260,132693,467914,77063
Company_756,172647,241209,45483,100776,517698,64365
Company_757,129866,195876,51950,152585,410164,88556
Company_758,123696,228586,42417,201051,576856,75028
Company_759,102832,248368,38693,156933,460074,72219
Company_760,134006,239447,56227,149443,543314,92798
Company_761,108487,249198,56295,158052,423800,80441
Company_762,122440,222263,41956,149722,540130,87749
Company_763,171201,202263,58953,129674,540316,65280
Company_764,118078,151941,43684,170581,523052,58927
Company_765,142985,192618,52531,155644,440334,81608
Company_766,105936,174702,58203,150440,514972,75217
Company_767,119300,265128,49663,125615,429016,89396
Company_768,155416,194723,54547,182587,484834,78801
Company_769,107460,203696,44835,166617,561764,83076
Company_770,156248,216544,48035,136176,547802,55649
Company_771,134155,201308,47941,175045,500910,108326
Company_772,108750,250851,42534,137560,441511,77536
Company_773,132648,181320,48232,130449,538735,90463
Company_774,139451,205838,34513,131007,501162,67458
Company_775,132436,177725,45088,105723,360781,84620
Company_776,88595,160399,47151,161788,546957,60457
Company_777,105457,181646,47438,104221,498546,86781
Company_778,115049,198888,47585,119288,572147,74660
Company_779,118511,187120,49382,98110,434283,80437
Company_780,132413,179227,54794,147848,309397,90469
Company_781,123554,157810,58745,146241,516745,61511
Company_782,93293,197506,43502,141832,517493,69732
Company_783,127603,154858,37967,123935,398559,86859
Company_784,132211,222801,39579,120694,441290,111473
Company_785,131195,202473,45127,161609,665313,77928
Company_786,141615,156273,46480,136236,481663,88867
Company_787,136678,190723,42300,157908,543857,78395
Company_788,129183,177435,37038,127868,460960,109133
Company_789,118596,209575,45438,154526,374581,53791
Company_790,86780,240213,51814,182581,489784,81419
Company_791,128592,143744,55950,164654,484063,55616
Company_792,124153,203450,44425,139689,476007,42401
Company_793,125431,195196,45870,156429,493121,84461
Company_794,94465,220140,40733,143983,515856,82092
Company_795,98378,206395,49685,150197,490992,75727
Company_796,141063,177440,41515,141859,424159,78407
Company_797,119208,190428,55731,145891,529171,126474
Company_798,133630,176119,32141,155302,383037,76127
Company_799,120566,232280,46403,125166,376978,87651
Company_800,120595,200639,53011,124603,544350,70259
Company_801,138765,257035,51838,115286,530421,84428
Company_802,109679,198180,76930,109993,496556,76426
Company_803,121922,178747,53498,119567,416273,73842
Company_804,110754,154588,39959,153986,457525,107283
Company_805,111310,145905,49045,127680,484235,97657
Company_806,113816,152475,32237,162840,404246,82051
Company_807,124442,208013,49194,150867,455658,45436
Company_808,110425,215261,41669,100787,539139,74584
Company_809,145115,152564,59153,166374,585638,120545
Company_810,102107,226851,44504,170269,474833,76540
Company_811,116262,185508,48832,125153,545389,96548
Company_812,111205,204403,43644,160504,385156,101629
Company_813,148939,248366,67388,128587,539567,83284
Company_814,123931,226905,46787,152441,451763,67372
Company_815,140636,191944,68325,118387,518440,43470
Company_816,90288,173264,58141,105172,485134,90262
Company_817,125341,135445,54820,140429,579224,67778
Company_818,137792,178425,53687,146906,447533,82642
Company_819,121645,193666,53937,140058,537656,61252
Company_820,141309,170384,30723,120399,483229,76021
Company_821,109654,196062,47211,140002,490501,80505
Company_822,148186,202305,58451,156732,488968,84028
Company_823,165977,193254,49511,148877,449259,63277
Company_824,112743,180499,35948,154562,499154,97953
Company_825,111089,205059,49475,133247,496241,71046
Company_826,149067,213258,67041,179292,514474,54882
Company_827,151591,167288,62468,120595,505070,78364
Company_828,109542,242327,49379,162189,547879,80515
Company_829,111596,197042,59514,179547,555410,82408
Company_830,114364,200565,46334,162022,436962,100431
Company_831,93110,221246,32961,144936,552126,76453
Company_832,101626,206996,40755,136792,428819,78205
Company_833,99917,228594,65628,175902,535271,63452
Company_834,104644,208613,47260,114425,537184,92308
Company_835,119306,181626,47566,125746,385320,82764
Company_836,124684,210845,47001,140061,505578,73699
Company_837,151010,165688,69041,180941,471890,51429
Company_838,100032,203256,66259,159494,454474,101666
Company_839,139686,199003,72187,125798,581051,61584
Company_840,115720,193756,48409,142242,460779,71130
Company_841,119010,196143,52956,134641,451617,85375
Company_842,133496,143544,34833,132255,504541,62051
Company_843,97545,183538,64769,174472,541135,57597
Company_844,127648,202785,38322,115706,491501,48140
Company_845,123329,204795,52167,190219,569982,90814
Company_846,129849,169169,39026,170705,531858,71822
Company_847,125783,237971,44111,177271,369307,123909
Company_848,169106,174014,41627,138426,468231,65084
Company_849,107245,229083,43921,146251,466289,66178
Company_850,109380,212815,44608,114171,528761,71519
Company_851,107537,180613,44517,136883,342510,83647
Company_852,108890,253259,58333,162341,652940,72946
Company_853,107252,164190,38951,182401,531861,89184
Company_854,143780,227574,52205,122321,508932,65321
Company_855,148410,230017,62179,140862,570894,59276
Company_856,108585,179881,44868,146217,640619,53026
Company_857,103352,241773,42820,115105,552244,46646
Company_858,129428,192498,47694,164783,556928,72228
Company_859,108955,208660,61797,131900,507841,75485
Company_860,132658,207809,51941,145115,491508,70528
Company_861,124058,195970,44687,138701,471452,98651
Company_862,89685,224324,54838,130266,450433,98420
Company_863,150950,223804,38977,149823,458779,74977
Company_864,155917,147544,56813,144609,418966,53091
Company_865,107744,239130,54086,140703,495447,71499
Company_866,112245,150125,46921,131788,398919,71002
Company_867,125717,230976,41614,157988,511454,70142
Company_868,126689,233801,41133,191340,497820,69534
Company_869,133170,167271,55348,153497,508816,70198
Company_870,160204,187675,62289,174902,468672,74201
Company_871,116461,166828,43626,115244,684611,70466
Company_872,104034,193552,54583,153944,581606,83124
Company_873,92413,190758,29129,122565,425327,85405
Company_874,105381,223389,44153,113076,513972,66340
Company_875,119337,239309,49689,131515,463519,99065
Company_876,155891,241870,40903,179797,439131,65299
Company_877,109647,183134,40634,173750,419595,55732
Company_878,124475,193723,43322,156075,525933,85711
Company_879,119671,149496,52921,111682,459117,67738
Company_880,143767,175823,48126,145092,558069,84819
Company_881,170538,228945,27617,157542,559626,43944
Company_882,109382,248467,28792,154388,582434,100886
Company_883,110211,162969,43931,103905,448856,90084
Company_884,140883,182226,54576,127742,528521,57492
Company_885,133637,199207,22524,148398,537947,57818
Company_886,156934,208404,45002,163407,471549,105083
Company_887,131678,175711,44737,95096,453693,68939
Company_888,112814,212721,63883,145946,596571,67487
Company_889,131813,185784,46149,153576,513649,46009
Company_890,142174,199566,53829,171240,538158,74738
Company_891,136409,216388,51412,167321,450675,76584
Company_892,130145,200192,28694,164564,426842,90732
Company_893,141333,186908,57682,130001,465833,59013
Company_894,143385,196711,52153,102299,492558,57195
Company_895,147643,197349,55082,140173,436146,86764
Company_896,132974,188899,89262,175040,499409,95100
Company_897,116657,192236,29158,184836,398689,56432
Company_898,122934,247959,67246,167763,432797,96222
Company_899,144130,216827,47125,160733,540254,80563
Company_900,103661,191135,52873,159490,536227,96377
Company_901,127373,220908,49544,136097,476487,78946
Company_902,112133,189985,45757,146748,438934,42165
Company_903,120574,235193,44301,191726,438355,77720
Company_904,145569,211089,53295,126436,477603,95902
Company_905,123821,196780,34828,190369,538671,66593
Company_906,120928,213431,57505,141949,555694,74180
Company_907,92802,152873,45838,183135,470208,77357
Company_908,134925,166196,38699,114829,430790,36507
Company_909,132909,164182,45499,164647,516070,105070
Company_910,163265,204288,62571,131580,450587,66479
Company_911,113844,251975,44646,114618,468904,87586
Company_912,124383,266939,53584,155463,579516,78699
Company_913,124987,219141,42690,175236,549626,98864
Company_914,151549,215025,57579,128876,509478,86090
Company_915,118094,145968,56855,112524,423684,76476
Company_916,125580,183719,68486,147703,512683,66597
Company_917,132157,176366,48244,147814,563759,91967
Company_918,123732,181374,56686,163707,477461,51898
Company_919,111071,194955,50980,173739,581066,89688
Company_920,123881,185837,62958,148514,577564,63514
Company_921,141472,140621,42811,196387,599823,98784
Company_922,99469,222437,57450,155605,518314,82419
Company_923,122659,167817,48053,141339,535243,89661
Company_924,105997,207177,49358,109710,584851,81229
Company_925,143900,262222,50917,143433,526843,53714
Company_926,89536,172418,52522,141590,469925,67089
Company_927,108821,124091,48837,174007,473087,90085
Company_928,127544,191419,52147,161562,514313,82499
Company_929,151310,233028,65781,120515,422566,97714
Company_930,118684,258750,59854,154306,491404,86049
Company_931,108896,163113,58691,166788,565792,65499
Company_932,157623,214900,45444,188200,368524,68059
Company_933,91039,186040,41107,172187,592068,81543
Company_934,76023,196821,59553,169021,567342,45289
Company_935,128800,279330,58760,151502,472414,105101
Company_936,109958,154910,64726,159707,532603,86626
Company_937,99575,207612,43960,181237,500188,98405
Company_938,134167,214030,47704,116680,573799,56290
Company_939,124876,232573,33605,141264,558960,98668
Company_940,108718,202939,46075,130685,415995,113472
Company_941,94393,209241,59965,159478,535235,60186
Company_942,137449,188250,45335,180755,487662,91571
Company_943,133004,208073,56404,135075,504969,80016
Company_944,118016,189704,48094,90242,456309,56833
Company_945,156932,218647,53240,139694,604888,87393
Company_946,98598,188911,38523,172836,562403,92504
Company_947,89489,211313,50852,163440,455613,70983
Company_948,106161,199122,20088,160704,419923,97488
Company_949,119088,233781,48131,143000,476859,54998
Company_950,124866,198458,33695,118024,526070,57578
Company_951,115175,146809,62059,162882,514412,82048
Company_952,127041,237857,57774,129142,575187,80380
Company_953,94969,172828,54666,204602,547395,69251
Company_954,148875,180387,65210,164262,558174,92143
Company_955,118356,182130,40510,135483,519611,87963
Company_956,142345,241233,67473,134715,416642,92872
Company_957,126854,135929,59321,147676,488258,78152
Company_958,129135,294132,47634,144012,563605,89038
Company_959,131395,231681,61356,177920,496908,73315
Company_960,128954,206697,38937,154660,530185,110807
Company_961,132854,198353,41754,131709,480875,67811
Company_962,146583,208566,43914,197261,438211,111579
Company_963,123930,215633,44710,151232,492599,80523
Company_964,134180,219356,39434,169220,518542,59367
Company_965,118205,216668,62230,134794,460658,100521
Company_966,148802,202687,47411,159077,485857,81888
Company_967,106472,194079,53525,157777,443632,92766
Company_968,156018,195461,44296,102758,567154,98357
Company_969,119196,194152,31793,200381,482332,85069
Company_970,91384,234013,52700,182266,587165,71116
Company_971,122562,217806,30877,140070,591724,94635
Company_972,106378,111788,49313,122443,495137,80011
Company_973,136812,219677,36316,158689,439493,90287
Company_974,106947,205842,69872,152167,374846,47694
Company_975,111076,199438,59113,158891,411677,86704
Company_976,82209,188344,51057,154789,417569,70421
Company_977,110953,233723,62637,162656,582708,104799
Company_978,71522,228425,41536,186182,506949,89346
Company_979,88321,176813,55434,164202,523376,83597
Company_980,135208,212211,51998,123758,366774,87294
Company_981,135716,170850,52640,184064,428122,65023
Company_982,128509,158611,62723,191015,553224,104348
Company_983,100660,181198,57324,228801,517206,109870
Company_984,119045,225871,52887,121912,491167,85893
Company_985,119927,228593,33451,156072,533890,103856
Company_986,96832,215392,40399,97947,598147,71462
Company_987,150067,221752,48772,163828,486737,68043
Company_988,137547,215485,50933,136294,504162,80613
Company_989,115580,180755,38697,198086,511555,86524
Company_990,120537,212957,74116,130634,643526,74090
Company_991,124167,224012,65163,107770,374038,88066
Company_992,79165,222628,56021,138218,540993,84595
Company_993,115056,235667,50720,100612,493111,65025
Company_994,106360,221249,47877,168777,534006,87781
Company_995,99967,210543,40480,98372,460557,92952
Company_996,114377,232104,50774,150711,497062,82572
Company_997,155953,199204,52577,98054,542684,97289
Company_998,132816,173543,37582,141992,686774,61738
Company_999,108576,195107,53341,191084,548482,87019
Company_1000,131451,177652,48447,159016,449116,62445
